date,open,high,low,close,volume
28-10-2011,98.5866,101.8027,98.2935,99.8972,8249500
31-10-2011,97.2502,98.1986,94.3962,94.4566,8071700
01-11-2011,89.2315,92.3433,88.559,89.2746,10225400
02-11-2011,91.7837,92.4735,90.3179,91.5078,5602800
03-11-2011,93.146,93.7323,88.0244,92.8442,8295100
04-11-2011,91.6802,91.8872,89.5074,90.568,6074600
07-11-2011,90.4904,91.525,89.4557,91.0249,4696900
08-11-2011,91.7492,94.2043,91.5681,93.6202,6138600
09-11-2011,90.5248,90.5335,85.2135,85.9378,10596500
10-11-2011,87.8347,87.8951,84.6186,85.7912,8536500
11-11-2011,86.9897,88.1192,86.4465,87.6536,4770400
14-11-2011,86.6707,86.7483,84.8255,85.6102,4826400
15-11-2011,84.7566,87.1018,84.5496,86.0068,5664100
16-11-2011,85.248,85.3515,82.1268,82.4286,8889900
17-11-2011,82.7648,83.1528,79.1694,79.6263,8994900
18-11-2011,79.7298,80.5231,78.7296,79.247,6228700
21-11-2011,77.7553,79.5746,76.6517,78.721,7802900
22-11-2011,78.2123,79.1521,76.4016,77.0828,7087400
23-11-2011,76.7206,76.9793,75.5308,75.7808,6608600
25-11-2011,75.9274,78.8417,75.6515,76.5223,3675000
28-11-2011,79.9454,80.8335,77.0569,78.2726,8730600
29-11-2011,78.2089,79.0226,76.7373,76.8758,5877300
30-11-2011,79.9834,83.1083,79.0918,82.9785,10871200
01-12-2011,81.8705,82.7707,80.6759,81.7406,6036600
02-12-2011,82.6928,88.657,82.6928,84.1817,15122900
05-12-2011,86.1813,88.4579,85.7398,86.4063,8527400
06-12-2011,86.2505,88.38,85.6965,87.5663,6401800
07-12-2011,86.7959,91.8424,85.7398,91.0028,10620400
08-12-2011,89.7476,90.6219,86.0255,86.4929,9218200
09-12-2011,87.5316,89.6611,87.246,87.8173,7014600
12-12-2011,85.9908,86.0861,84.4154,84.8569,6133300
13-12-2011,85.861,86.5102,80.8058,82.2687,10105700
14-12-2011,81.178,82.8486,80.0267,80.7192,8376300
15-12-2011,82.009,82.3206,79.5506,79.5506,8163200
16-12-2011,80.2518,81.0135,77.8194,77.9925,10053500
19-12-2011,78.4426,78.7023,75.2225,75.915,9545300
20-12-2011,77.7501,79.2044,76.3045,78.7542,8610800
21-12-2011,78.8062,79.819,77.2827,79.6372,6422500
22-12-2011,79.7411,82.1908,79.4554,81.732,8280500
23-12-2011,82.0609,82.234,80.2691,81.1866,3919500
27-12-2011,80.9356,81.2299,79.49,79.5506,3672000
28-12-2011,79.3429,80.0181,77.944,78.0098,3917400
29-12-2011,78.4167,79.1437,78.1223,78.7802,4290500
30-12-2011,78.3647,78.8927,78.0271,78.2782,4182800
03-01-2012,80.4768,83.4719,80.3556,82.5457,8645200
04-01-2012,82.0003,82.3466,81.0914,82.009,7406200
05-01-2012,81.3251,82.9265,80.07,81.8705,8131300
06-01-2012,81.1953,81.3338,80.0007,80.8664,5940900
09-01-2012,80.927,82.3293,80.469,81.9657,5018200
10-01-2012,84.2769,86.112,83.9999,85.1166,7682700
11-01-2012,84.779,87.0988,84.3981,86.3544,7223000
12-01-2012,87.0469,87.8209,85.056,87.6096,6858700
13-01-2012,84.8309,86.0687,83.9653,85.6619,7615800
17-01-2012,85.3676,88.1549,83.922,84.5539,8041500
18-01-2012,85.6965,91.6087,84.6578,90.293,17960300
19-01-2012,91.9723,93.7468,90.7864,93.2101,11480900
20-01-2012,92.8985,94.725,92.2753,94.1277,8439700
23-01-2012,93.9113,95.9974,93.0716,93.6516,7091800
24-01-2012,92.4397,94.4393,91.9723,94.2402,4543900
25-01-2012,91.955,94.3095,91.6953,93.7208,7927600
26-01-2012,94.0152,95.4781,93.5131,93.9719,6909600
